Indicator_cases,Country,Date,cases,Indicator_deaths,deaths
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-21,3783.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2512.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-22,3783.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2512.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-23,3788.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2516.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-24,3787.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2517.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-27,3792.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2519.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-28,3786.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2520.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-29,3786.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2520.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-30,3785.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2521.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-07-31,3781.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2521.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-03,3786.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2522.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-04,3784.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2522.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-05,3784.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2522.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-06,3792.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2524.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-07,3795.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2524.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-10,3791.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2524.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-11,3787.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2524.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-12,3787.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2524.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-13,3792.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2524.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-14,3791.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2524.0
